resource,horizon,variant,rmse,skill,naive,diracc
steel,1,best_single,567.9736980094425,0.8597824485934797,660.601642820916,0.728
steel,1,simple_avg,1191.157325208671,1.8031401195464245,660.601642820916,0.5573333333333333
steel,1,inv_error,615.9582813163678,0.9324201476189021,660.601642820916,0.68
steel,1,shrink_naive_0.25,969.6940066976063,1.4678952394922862,660.601642820916,0.5573333333333333
steel,1,shrink_naive_0.5,786.7589932629954,1.1909734131198333,660.601642820916,0.5573333333333333
steel,1,shrink_naive_0.75,674.4668368149111,1.0209887367745372,660.601642820916,0.5573333333333333
steel,1,stacked_nnls,562.0417532312738,0.8508028391077419,660.601642820916,0.7253333333333334
steel,21,best_single,759.7436632369228,0.9006678599748908,843.533667625381,0.6587112171837709
steel,21,simple_avg,811.1881783782964,0.9616547738537338,843.533667625381,0.6276849642004774
steel,21,inv_error,795.6759105793616,0.9432651488816765,843.533667625381,0.6372315035799523
steel,21,shrink_naive_0.25,784.4484593594501,0.9299551274197972,843.533667625381,0.6276849642004774
steel,21,shrink_naive_0.5,783.1035122516952,0.928360707233178,843.533667625381,0.6276849642004774
steel,21,shrink_naive_0.75,807.280271819692,0.957021993078539,843.533667625381,0.6276849642004774
steel,21,stacked_nnls,757.1637214222711,0.8976093669785006,843.533667625381,0.6634844868735084
cement,1,best_single,112.44799756787634,0.920923919899039,122.10346059879086,0.6666666666666666
cement,1,simple_avg,110.90370870149302,0.9082765398918697,122.10346059879086,0.6723646723646723
cement,1,inv_error,110.73502352077931,0.9068950460350497,122.10346059879086,0.6695156695156695
cement,1,shrink_naive_0.25,107.42228879376782,0.8797644904327272,122.10346059879086,0.6723646723646723
cement,1,shrink_naive_0.5,108.36860792442972,0.887514632206115,122.10346059879086,0.6723646723646723
cement,1,shrink_naive_0.75,113.63209830460308,0.9306214397802934,122.10346059879086,0.6723646723646723
cement,1,stacked_nnls,109.48524280246843,0.8966596218121653,122.10346059879086,0.6666666666666666
cement,21,best_single,156.28881802900122,0.9181311069683683,170.22494591764848,0.6807980049875312
cement,21,simple_avg,159.62271168373374,0.9377163307248522,170.22494591764848,0.683291770573566
cement,21,inv_error,158.47891315716305,0.9309969951985302,170.22494591764848,0.6783042394014963
cement,21,shrink_naive_0.25,155.79345003867047,0.9152210282624517,170.22494591764848,0.683291770573566
cement,21,shrink_naive_0.5,157.11866999479528,0.9230061384234849,170.22494591764848,0.683291770573566
cement,21,shrink_naive_0.75,163.47306274494707,0.9603355246418005,170.22494591764848,0.683291770573566
cement,21,stacked_nnls,152.4942867494685,0.8958398308038956,170.22494591764848,0.7057356608478803
oil,1,best_single,1.3022044542565498,1.0271271981161478,1.267812259907946,0.5550660792951542
oil,1,simple_avg,1.335104804596385,1.0530776888790498,1.267812259907946,0.5374449339207048
oil,1,inv_error,1.331403771647653,1.0501584609572432,1.267812259907946,0.5374449339207048
oil,1,shrink_naive_0.25,1.3045840862005984,1.0290041573626385,1.267812259907946,0.5374449339207048
oil,1,shrink_naive_0.5,1.2839968394386694,1.012765754080891,1.267812259907946,0.5374449339207048
oil,1,shrink_naive_0.75,1.273824782463537,1.0047424391968156,1.267812259907946,0.5374449339207048
oil,1,stacked_nnls,1.3010898087315224,1.0262480099585034,1.267812259907946,0.5550660792951542
oil,21,best_single,3.7376560951997155,0.9647841802431533,3.874085180643944,0.630901287553648
oil,21,simple_avg,4.508433248812371,1.1637413837304906,3.874085180643944,0.6008583690987125
oil,21,inv_error,3.908626744375757,1.0089160568550204,3.874085180643944,0.630901287553648
oil,21,shrink_naive_0.25,3.9973386284425554,1.0318148522945292,3.874085180643944,0.6008583690987125
oil,21,shrink_naive_0.5,3.7030319276268697,0.9558468012340808,3.874085180643944,0.6008583690987125
oil,21,shrink_naive_0.75,3.6779285472602283,0.9493669797546602,3.874085180643944,0.6008583690987125
oil,21,stacked_nnls,3.789294922011348,0.9781134759100722,3.874085180643944,0.6523605150214592
aluminium,1,best_single,29.92489105051007,1.0567298618314016,28.31839255365389,0.5267857142857143
aluminium,1,simple_avg,88.50989695080133,3.125526873854321,28.31839255365389,0.49107142857142855
aluminium,1,inv_error,34.285286571369966,1.2107073700038167,28.31839255365389,0.4955357142857143
aluminium,1,shrink_naive_0.25,68.92865962977923,2.4340597545987985,28.31839255365389,0.49107142857142855
aluminium,1,shrink_naive_0.5,50.56464777473222,1.785576200306183,28.31839255365389,0.49107142857142855
aluminium,1,shrink_naive_0.75,35.367673331953746,1.2489294109806488,28.31839255365389,0.49107142857142855
aluminium,1,stacked_nnls,29.92489105051007,1.0567298618314016,28.31839255365389,0.5267857142857143
aluminium,21,best_single,157.87521975920123,1.6470460631824417,95.85355460803135,0.59375
aluminium,21,simple_avg,193.00487979411332,2.013539097046088,95.85355460803135,0.5580357142857143
aluminium,21,inv_error,181.06149379167098,1.8889387517455745,95.85355460803135,0.5714285714285714
aluminium,21,shrink_naive_0.25,161.78141438546817,1.6877977561398947,95.85355460803135,0.5580357142857143
aluminium,21,shrink_naive_0.5,133.67370686690165,1.3945618126894321,95.85355460803135,0.5580357142857143
aluminium,21,shrink_naive_0.75,111.07288249283661,1.1587768752764656,95.85355460803135,0.5580357142857143
aluminium,21,stacked_nnls,172.02951654604735,1.7947119149573343,95.85355460803135,0.5848214285714286
copper,1,best_single,0.08270636476644588,1.0088033510007977,0.08198462533297085,0.5566502463054187
copper,1,simple_avg,0.08243273908334037,1.0054658266540777,0.08198462533297085,0.5221674876847291
copper,1,inv_error,0.08241596339579704,1.005261206733267,0.08198462533297085,0.5221674876847291
copper,1,shrink_naive_0.25,0.08212393788410605,1.001699252153308,0.08198462533297085,0.5221674876847291
copper,1,shrink_naive_0.5,0.08215471208926421,1.0020746177176827,0.08198462533297085,0.5221674876847291
copper,1,shrink_naive_0.75,0.08252468180740982,1.006587289656391,0.08198462533297085,0.5221674876847291
copper,1,stacked_nnls,0.08221105388712588,1.0027618416652564,0.08198462533297085,0.5517241379310345
copper,21,best_single,0.3019408803570087,0.8356027942060147,0.36134498645844204,0.6835443037974683
copper,21,simple_avg,0.32748127637113084,0.9062842675106387,0.36134498645844204,0.6751054852320675
copper,21,inv_error,0.3231571802306825,0.8943175977006355,0.36134498645844204,0.679324894514768
copper,21,shrink_naive_0.25,0.3372606953090151,0.9333482072479319,0.36134498645844204,0.6751054852320675
copper,21,shrink_naive_0.5,0.35063281093844,0.9703547138567148,0.36134498645844204,0.6751054852320675
copper,21,shrink_naive_0.75,0.36720533886706963,1.016218164436333,0.36134498645844204,0.6751054852320675
copper,21,stacked_nnls,0.30230342813032646,0.8366061228445856,0.36134498645844204,0.6962025316455697
