Date,Steel_Price,Cement_Price,USD_Buy,USD_Sell,Oil_Price,Oil_Open,Oil_High,Oil_Low,Oil_Volume,Oil_Change_Percent,Aluminium_Price,Aluminium_Open,Aluminium_High,Aluminium_Low,Aluminium_Change_Percent,Copper_Price,oil_egp,oil_egp_ret_5,oil_egp_ret_21,oil_egp_vol_21,steel_oil_egp_ratio,steel_oil_egp_ratio_z21,alu_egp,alu_egp_ret_5,alu_egp_ret_21,alu_egp_vol_21,steel_alu_egp_ratio,steel_alu_egp_ratio_z21,cop_egp,cop_egp_ret_5,cop_egp_ret_21,cop_egp_vol_21,steel_cop_egp_ratio,steel_cop_egp_ratio_z21,egp_depreciation_ret_21,egp_devaluation_flag,cbe_rate,cbe_rate_change_90,cbe_days_since_change,iron_ore_level,iron_ore_ret_1m,iron_ore_ret_3m,iron_ore_vol_6m,iron_ore_mom_12m,iron_ore_mean_3m,iron_ore_dev_12m,iron_ore_egp,steel_iron_ore_egp_ratio,coal_level,coal_ret_1m,coal_ret_3m,coal_vol_6m,coal_mom_12m,coal_mean_3m,coal_dev_12m,coal_egp,steel_coal_egp_ratio,natgas_level,natgas_ret_1m,natgas_ret_3m,natgas_vol_6m,natgas_mom_12m,natgas_mean_3m,natgas_dev_12m,natgas_egp,steel_natgas_egp_ratio,egypt_cpi_inflation,egypt_cpi_inflation_change,egypt_gdp_growth,egypt_gdp_growth_change
2023-01-11,26848.08,1905.65,29.6333,29.7631,77.68,75.06,78.06,74.56,179830.0,3.06,2510.0,2487.0,2486.0,2485.0,1.89,4.1776,2311.997608,,,,11.612503363801059,,74705.38100000001,,,,0.35938615988050443,,124.33832656,,,,215.92762861453136,,,0.0,16.25,,17,111.40909090909092,0.17808219178082219,0.10480054090601776,0.11527157707800677,0.008623928718398677,100.19877344877345,-0.07700477400345707,3315.879913636364,8.096819154876155,427.6869643,0.16137772986150423,-0.08571635025222835,0.10559436452566855,1.3567398766627368,407.61814239999995,0.11327605291363874,12729.28988715733,2.1091577172020584,5.746818181818182,-0.11289643558798756,-0.2665196960027847,0.161180219740005,0.48948409039686935,6.1062698412698415,-0.11808521202260203,171.04312422727276,156.96673059085228,5.21404940513043,,3.29064601193245,
2023-01-12,27059.24,1903.71,29.5053,29.6367,78.65,77.9,79.37,77.35,188060.0,1.25,2548.5,2482.0,2475.5,2476.0,1.53,4.1728,2330.9264550000003,,,,11.608791835519323,,75529.12995,,,,0.35826230247737684,,123.66802175999999,,,,218.80547303096122,,,0.0,16.25,,18,111.40909090909092,0.17808219178082219,0.10480054090601776,0.11527157707800677,0.008623928718398677,100.19877344877345,-0.07700477400345707,3301.797804545455,8.195304982863762,427.6869643,0.16137772986150423,-0.08571635025222835,0.10559436452566855,1.3567398766627368,407.61814239999995,0.11327605291363874,12675.23025486981,2.1348125009093124,5.746818181818182,-0.11289643558798756,-0.2665196960027847,0.161180219740005,0.48948409039686935,6.1062698412698415,-0.11808521202260203,170.31672640909093,158.87599867910373,5.21404940513043,0.0,3.29064601193245,0.0
2023-01-23,26985.0,,29.8332,29.9206,81.93,82.12,82.89,81.32,104290.0,0.36,2636.5,2625.0,2620.0,2619.0,1.0,4.2624,2451.3947580000004,,,,11.008018970398727,,78885.6619,,,,0.3420773731252675,,127.53356544000002,,,,211.59135563174917,,,0.0,16.25,,29,111.40909090909092,0.17808219178082219,0.10480054090601776,0.11527157707800677,0.008623928718398677,100.19877344877345,-0.07700477400345707,3333.426845454546,8.09527289815785,427.6869643,0.16137772986150423,-0.08571635025222835,0.10559436452566855,1.3567398766627368,407.61814239999995,0.11327605291363874,12796.65058403458,2.108754929486561,5.746818181818182,-0.11289643558798756,-0.2665196960027847,0.161180219740005,0.48948409039686935,6.1062698412698415,-0.11808521202260203,171.9482480909091,156.9367545154227,5.21404940513043,0.0,3.29064601193245,0.0
2023-01-25,27390.62,1935.4,29.8585,29.9433,80.44,80.44,81.5,79.77,101060.0,0.0,2658.5,2637.0,2638.0,2637.0,0.3,4.2656,2408.639052,,,,11.371824257875563,,79604.26305000001,,,,0.3440848385568968,,127.72614048,,,,214.44803622081542,,,0.0,16.25,,31,111.40909090909092,0.17808219178082219,0.10480054090601776,0.11527157707800677,0.008623928718398677,100.19877344877345,-0.07700477400345707,3335.955831818182,8.21072621488259,427.6869643,0.16137772986150423,-0.08571635025222835,0.10559436452566855,1.3567398766627368,407.61814239999995,0.11327605291363874,12806.359078124191,2.138829610579062,5.746818181818182,-0.11289643558798756,-0.2665196960027847,0.161180219740005,0.48948409039686935,6.1062698412698415,-0.11808521202260203,172.07870086363639,159.17495810074527,5.21404940513043,0.0,3.29064601193245,0.0
2023-02-01,28824.49,1979.33,30.1611,30.2529,76.73,79.35,80.01,76.37,113870.0,-3.08,2631.5,2645.0,2642.0,2644.0,-0.47,4.1872,2321.305017,,,,12.417364279534489,1.5726419424234337,79610.50635,,,,0.3620689193116783,0.9515867276111785,126.67494287999999,,,,227.5468955790699,1.6181622157022155,,0.0,16.25,,38,111.40909090909092,0.17808219178082219,0.10480054090601776,0.11527157707800677,0.008623928718398677,100.19877344877345,-0.07700477400345707,3370.448086363637,8.552124008858012,427.6869643,0.16137772986150423,-0.08571635025222835,0.10559436452566855,1.3567398766627368,407.61814239999995,0.11327605291363874,12938.77096227147,2.227761051188722,5.746818181818182,-0.11289643558798756,-0.2665196960027847,0.161180219740005,0.48948409039686935,6.1062698412698415,-0.11808521202260203,173.8579157727273,165.79337139690728,5.21404940513043,0.0,3.29064601193245,0.0
2023-02-02,28500.0,,30.2408,30.3337,76.2,77.06,77.54,75.3,94840.0,-0.69,2617.0,2610.0,2607.0,2609.0,-0.55,4.0944,2311.42794,-0.00024639644869395294,,0.0327777935689492,12.330040451098812,1.1012810366897665,79383.2929,0.06261813857826382,,0.01846281784863978,0.35901760885507433,0.5600395753508035,124.19830128000001,-0.0011261634596024805,,0.01895213927784764,229.4717375863935,1.350600691096934,,0.0,16.25,,39,111.40909090909092,0.17808219178082219,0.10480054090601776,0.11527157707800677,0.008623928718398677,100.19877344877345,-0.07700477400345707,3379.4499409090913,8.433325096785822,427.6869643,0.16137772986150423,-0.08571635025222835,0.10559436452566855,1.3567398766627368,407.61814239999995,0.11327605291363874,12973.32806898691,2.1968148688176643,5.746818181818182,-0.11289643558798756,-0.2665196960027847,0.161180219740005,0.48948409039686935,6.1062698412698415,-0.11808521202260203,174.3222586818182,163.49030935871272,5.21404940513043,0.0,3.29064601193245,0.0
2023-02-12,29066.67,1999.39,30.482,30.5834,,,,,,,,,,,,,2330.45508,-0.0002022264576340138,,0.029510057371058416,12.472529614258859,1.1130295499339884,80036.7578,0.0596806537157788,,0.016592158722648954,0.3631665099757451,0.8949607720434753,125.22067296000002,0.012554993424356953,,0.017296605671180125,232.12357283277768,1.3127558744445311,,0.0,16.25,,49,122.4318181818182,0.09893920848633209,0.2939447316649131,0.09351951847975717,-0.07977451315339901,109.46969696969695,0.021803007298396793,3744.381268181819,7.7627431391659725,404.5352041,-0.0541324897238632,-0.05240922532067804,0.10755173585285262,0.7454905607325935,400.1601492,0.014972494658932467,12372.06196107194,2.3493796015132147,3.471363636363636,-0.39595032824487864,-0.4303458907272302,0.24782074079126587,-0.17999284180386543,5.232121212121212,-0.46203753409204296,106.16610263636363,273.7848454280942,5.21404940513043,0.0,3.29064601193245,0.0
2023-02-13,29157.35,1991.58,30.4852,30.5834,80.33,80.05,80.78,78.67,155590.0,0.51,2412.5,2430.0,2424.0,2424.0,-1.15,4.072,2456.764522,0.0021904933844194563,,0.0332258135390472,11.86819076020506,0.06006543743725068,73782.4525,-0.06469121608523898,,0.03822450502136824,0.3951800057066414,2.1510193320925697,124.5356048,-0.023507228310106765,,0.01598922960848913,234.12862567958555,1.2657898379021675,,0.0,16.25,,50,122.4318181818182,0.09893920848633209,0.2939447316649131,0.09351951847975717,-0.07977451315339901,109.46969696969695,0.021803007298396793,3744.381268181819,7.786960758448111,404.5352041,-0.0541324897238632,-0.05240922532067804,0.10755173585285262,0.7454905607325935,400.1601492,0.014972494658932467,12372.06196107194,2.3567090184111676,3.471363636363636,-0.39595032824487864,-0.4303458907272302,0.24782074079126587,-0.17999284180386543,5.232121212121212,-0.46203753409204296,106.16610263636363,274.6389786942516,5.21404940513043,0.0,3.29064601193245,0.0
2023-02-15,28891.63,2006.49,30.5237,30.6234,78.83,79.04,79.37,77.47,150590.0,-0.52,2384.5,2398.0,2393.0,2390.5,-0.98,4.032,2414.042622,0.0022434121025785014,,0.03212746716721057,11.968152399920635,0.23428581888636946,73021.4973,-0.08269363345359182,,0.03551912729655178,0.39565923828297067,1.6362534821310273,123.4735488,-0.03329460722776545,,0.015125933727407264,233.99043990221816,1.0850981324416982,,0.0,16.25,,52,122.4318181818182,0.09893920848633209,0.2939447316649131,0.09351951847975717,-0.07977451315339901,109.46969696969695,0.021803007298396793,3749.2785409090916,7.705917201071601,404.5352041,-0.0541324897238632,-0.05240922532067804,0.10755173585285262,0.7454905607325935,400.1601492,0.014972494658932467,12388.24336923594,2.3321813382959014,3.471363636363636,-0.39595032824487864,-0.4303458907272302,0.24782074079126587,-0.17999284180386543,5.232121212121212,-0.46203753409204296,106.30495718181818,271.78064660319967,5.21404940513043,0.0,3.29064601193245,0.0
2023-02-19,28581.74,2006.86,30.5265,30.6234,76.67,76.69,76.82,76.53,,0.16,,,,,,,2347.896078,0.01145522057862336,,0.03202328357300645,12.173341174600317,0.6009130820178695,73021.4973,-0.0827655714313893,,0.0332386779870825,0.3914154195246829,1.220050918823979,123.4735488,-0.025272512520749135,,0.014152003575122647,231.48067159142025,0.7429072559209527,,0.0,16.25,,56,122.4318181818182,0.09893920848633209,0.2939447316649131,0.09351951847975717,-0.07977451315339901,109.46969696969695,0.021803007298396793,3749.2785409090916,7.623263966157541,404.5352041,-0.0541324897238632,-0.05240922532067804,0.10755173585285262,0.7454905607325935,400.1601492,0.014972494658932467,12388.24336923594,2.307166492303325,3.471363636363636,-0.39595032824487864,-0.4303458907272302,0.24782074079126587,-0.17999284180386543,5.232121212121212,-0.46203753409204296,106.30495718181818,268.8655426587055,5.21404940513043,0.0,3.29064601193245,0.0
