resource,horizon,stage,variant,rmse,diracc,naive_rmse,skill,control
steel,1,1a_target,price,764.9232781780104,0.6476022487932199,660.601642820916,1.1579191279507235,False
steel,1,1a_target,ret,566.7078063525472,0.7006760110247806,660.601642820916,0.857866177765739,False
steel,1,1a_target,logret,562.0326423646869,0.6929021676693774,660.601642820916,0.8507890473367316,False
steel,1,1a_target,volnorm,574.1920712799117,0.7250641810522922,660.601642820916,0.8691956453937714,False
steel,1,1d_regime,full-history,562.0326423646869,0.6929021676693774,660.601642820916,0.8507890473367316,False
steel,1,1d_regime,recency-weighted,550.8336795574817,0.7034602342010057,660.601642820916,0.8338363755883187,False
steel,1,1d_regime,recent-50%-window,550.8563674290434,0.7146021656538784,660.601642820916,0.8338707198437536,False
steel,21,1a_target,price,2242.4954242859376,0.47708333333333336,843.533667625381,2.658453966157335,False
steel,21,1a_target,ret,950.2218290180799,0.4627747252747253,843.533667625381,1.1264776564200871,False
steel,21,1a_target,logret,913.8164219699945,0.4627747252747253,843.533667625381,1.0833194418220027,False
steel,21,1a_target,volnorm,1215.0825051126963,0.4556318681318682,843.533667625381,1.4404671108543383,False
steel,21,1d_regime,full-history,913.8164219699945,0.4627747252747253,843.533667625381,1.0833194418220027,False
steel,21,1d_regime,recency-weighted,758.7263621988435,0.6561813186813187,843.533667625381,0.8994618606447834,False
steel,21,1d_regime,recent-50%-window,709.0342758920129,0.6562728937728937,843.533667625381,0.8405524321133556,False
cement,1,1a_target,price,414.00016950250097,0.4804504167227531,122.10346059879086,3.3905686822655103,False
cement,1,1a_target,ret,104.62929583488348,0.6812566602728047,122.10346059879086,0.8568905035269703,False
cement,1,1a_target,logret,105.2147131201414,0.6833577309642394,122.10346059879086,0.8616849400022926,False
cement,1,1a_target,volnorm,105.2016187831666,0.6570540000897385,122.10346059879086,0.8615777003146491,False
cement,1,1d_regime,full-history,105.2147131201414,0.6833577309642394,122.10346059879086,0.8616849400022926,False
cement,1,1d_regime,recency-weighted,107.7105350022461,0.6671391954951317,122.10346059879086,0.8821251623339553,False
cement,1,1d_regime,recent-50%-window,107.57128546213696,0.6782077977071836,122.10346059879086,0.8809847397822416,False
cement,21,1a_target,price,576.9319680178369,0.3912664345412452,170.22494591764848,3.3892327878720274,False
cement,21,1a_target,ret,163.6082833309096,0.6165370940107957,170.22494591764848,0.9611298887418069,False
cement,21,1a_target,logret,161.10402899564332,0.6219134380968172,170.22494591764848,0.9464184472326537,False
cement,21,1a_target,volnorm,161.59135101374608,0.5985028524406943,170.22494591764848,0.949281259234007,False
cement,21,1d_regime,full-history,161.10402899564332,0.6219134380968172,170.22494591764848,0.9464184472326537,False
cement,21,1d_regime,recency-weighted,170.69583660895825,0.655111057890115,170.22494591764848,1.0027662848636625,False
cement,21,1d_regime,recent-50%-window,158.9317356084767,0.6644736034094189,170.22494591764848,0.933657136747541,False
aluminium,1,1a_target,price,91.25219627679755,0.5149096836483407,28.31839255365389,3.2223649737147024,True
aluminium,1,1a_target,ret,28.020790629582223,0.5373433365720117,28.31839255365389,0.9894908609834471,True
aluminium,1,1a_target,logret,27.975718385133764,0.5467620854644448,28.31839255365389,0.9878992365872861,True
aluminium,1,1a_target,volnorm,27.814368122058635,0.5441502135694514,28.31839255365389,0.9822015168890573,True
aluminium,1,1d_regime,full-history,27.975718385133764,0.5467620854644448,28.31839255365389,0.9878992365872861,True
aluminium,1,1d_regime,recency-weighted,27.878292290496614,0.5629699902839649,28.31839255365389,0.9844588543532817,True
aluminium,1,1d_regime,recent-50%-window,27.868484548462362,0.5714140803070022,28.31839255365389,0.9841125161204294,True
aluminium,21,1a_target,price,225.2259313026226,0.44800709348123136,95.85355460803135,2.349687836028894,True
aluminium,21,1a_target,ret,91.07735420699663,0.7107082931436379,95.85355460803135,0.9501719010779959,True
aluminium,21,1a_target,logret,90.65058082521702,0.6912464331645366,95.85355460803135,0.9457195530818804,True
aluminium,21,1a_target,volnorm,90.9035805450653,0.635995649465477,95.85355460803135,0.9483589932245319,True
aluminium,21,1d_regime,full-history,90.65058082521702,0.6912464331645366,95.85355460803135,0.9457195530818804,True
aluminium,21,1d_regime,recency-weighted,88.8254970982116,0.6832951531227393,95.85355460803135,0.9266792187461467,True
aluminium,21,1d_regime,recent-50%-window,87.61982317603693,0.677247859898722,95.85355460803135,0.9141009275486531,True
