resource,n_obs,n_returns,ret_std,zero_move_frac,hurst,perm_entropy,ljung_box_p
steel,920,919,0.0203395771356256,0.1381936887921654,0.42864218331717874,0.9906743542163243,0.0
cement,908,907,0.0369045807274135,0.1631753031973539,0.37806763641345964,0.9933369607467343,0.0
oil,658,657,0.026321224685125478,0.0030441400304414,0.4807366122745185,0.997236690675667,0.5364236230402191
aluminium,642,641,0.013021691030285294,0.0015600624024961,0.5418862616329927,0.9936415774989338,0.33496390723085234
copper,660,659,0.01949770925594399,0.06676783004552352,0.5164558295122847,0.9933308807417262,0.7662097976540989
